title,link,level
,https://programmers.co.kr/learn/courses/30/lessons/83201,level-1
"내적
          ",https://programmers.co.kr/learn/courses/30/lessons/70128,level-1
"로또의 최고 순위와 최저 순위
          ",https://programmers.co.kr/learn/courses/30/lessons/77484,level-1
"음양 더하기
          ",https://programmers.co.kr/learn/courses/30/lessons/76501,level-1
"모의고사
          ",https://programmers.co.kr/learn/courses/30/lessons/42840,level-1
"폰켓몬
          ",https://programmers.co.kr/learn/courses/30/lessons/1845,level-1
"최댓값 구하기
          ",https://programmers.co.kr/learn/courses/30/lessons/59415,level-1
"체육복
          ",https://programmers.co.kr/learn/courses/30/lessons/42862,level-1
"K번째수
          ",https://programmers.co.kr/learn/courses/30/lessons/42748,level-1
"소수 만들기
          ",https://programmers.co.kr/learn/courses/30/lessons/12977,level-1
"모든 레코드 조회하기
          ",https://programmers.co.kr/learn/courses/30/lessons/59034,level-1
"이름이 없는 동물의 아이디
          ",https://programmers.co.kr/learn/courses/30/lessons/59039,level-1
"크레인 인형뽑기 게임
          ",https://programmers.co.kr/learn/courses/30/lessons/64061,level-1
"키패드 누르기
          ",https://programmers.co.kr/learn/courses/30/lessons/67256,level-1
"신규 아이디 추천
          ",https://programmers.co.kr/learn/courses/30/lessons/72410,level-1
"숫자 문자열과 영단어
          ",https://programmers.co.kr/learn/courses/30/lessons/81301,level-1
"완주하지 못한 선수
          ",https://programmers.co.kr/learn/courses/30/lessons/42576,level-1
"고양이와 개는 몇 마리 있을까
          ",https://programmers.co.kr/learn/courses/30/lessons/59040,level-2
"짝지어 제거하기
          ",https://programmers.co.kr/learn/courses/30/lessons/12973,level-2
"더 맵게
          ",https://programmers.co.kr/learn/courses/30/lessons/42626,level-2
"기능개발
          ",https://programmers.co.kr/learn/courses/30/lessons/42586,level-2
"타겟 넘버
          ",https://programmers.co.kr/learn/courses/30/lessons/43165,level-2
"더 맵게
          ",https://programmers.co.kr/learn/courses/30/lessons/42626,level-2
"카카오프렌즈 컬러링북
          ",https://programmers.co.kr/learn/courses/30/lessons/1829,level-2
"문자열 압축
          ",https://programmers.co.kr/learn/courses/30/lessons/60057,level-2
"멀쩡한 사각형
          ",https://programmers.co.kr/learn/courses/30/lessons/62048,level-2
"루시와 엘라 찾기
          ",https://programmers.co.kr/learn/courses/30/lessons/59046,level-2
"단체사진 찍기
          ",https://programmers.co.kr/learn/courses/30/lessons/1835,level-2
"고양이와 개는 몇 마리 있을까
          ",https://programmers.co.kr/learn/courses/30/lessons/59040,level-2
"[1차] 추석 트래픽
          ",https://programmers.co.kr/learn/courses/30/lessons/17676,level-3
"가장 먼 노드
          ",https://programmers.co.kr/learn/courses/30/lessons/49189,level-3
"없어진 기록 찾기
          ",https://programmers.co.kr/learn/courses/30/lessons/59042,level-3
"N으로 표현
          ",https://programmers.co.kr/learn/courses/30/lessons/42895,level-3
"입국심사
          ",https://programmers.co.kr/learn/courses/30/lessons/43238,level-3
"3진법 뒤집기
          ",https://programmers.co.kr/learn/courses/30/lessons/68935,level-1
"1주차
          ",https://programmers.co.kr/learn/courses/30/lessons/82612,level-1
"실패율
          ",https://programmers.co.kr/learn/courses/30/lessons/42889,level-1
"약수의 개수와 덧셈
          ",https://programmers.co.kr/learn/courses/30/lessons/77884,level-1
"예산
          ",https://programmers.co.kr/learn/courses/30/lessons/12982,level-1
"이름이 있는 동물의 아이디
          ",https://programmers.co.kr/learn/courses/30/lessons/59407,level-1
"1주차
          ",https://programmers.co.kr/learn/courses/30/lessons/82612,level-1
"이름에 el이 들어가는 동물 찾기
          ",https://programmers.co.kr/learn/courses/30/lessons/59047,level-2
"조이스틱
          ",https://programmers.co.kr/learn/courses/30/lessons/42860,level-2
"가장 큰 수
          ",https://programmers.co.kr/learn/courses/30/lessons/42746,level-2
"소수 찾기
          ",https://programmers.co.kr/learn/courses/30/lessons/42839,level-2
"동명 동물 수 찾기
          ",https://programmers.co.kr/learn/courses/30/lessons/59041,level-2
"행렬 테두리 회전하기
          ",https://programmers.co.kr/learn/courses/30/lessons/77485,level-2
"메뉴 리뉴얼
          ",https://programmers.co.kr/learn/courses/30/lessons/72411,level-2
"[1차] 뉴스 클러스터링
          ",https://programmers.co.kr/learn/courses/30/lessons/17677,level-2
"거리두기 확인하기
          ",https://programmers.co.kr/learn/courses/30/lessons/81302,level-2
"최솟값 구하기
          ",https://programmers.co.kr/learn/courses/30/lessons/59038,level-2
"게임 맵 최단거리
          ",https://programmers.co.kr/learn/courses/30/lessons/1844,level-2
"괄호 변환
          ",https://programmers.co.kr/learn/courses/30/lessons/60058,level-2
"프린터
          ",https://programmers.co.kr/learn/courses/30/lessons/42587,level-2
"예상 대진표
          ",https://programmers.co.kr/learn/courses/30/lessons/12985,level-2
"튜플
          ",https://programmers.co.kr/learn/courses/30/lessons/64065,level-2
"전화번호 목록
          ",https://programmers.co.kr/learn/courses/30/lessons/42577,level-2
"수식 최대화
          ",https://programmers.co.kr/learn/courses/30/lessons/67257,level-2
"브라이언의 고민
          ",https://programmers.co.kr/learn/courses/30/lessons/1830,level-3
"순위
          ",https://programmers.co.kr/learn/courses/30/lessons/49191,level-3
"네트워크
          ",https://programmers.co.kr/learn/courses/30/lessons/43162,level-3
"정수 삼각형
          ",https://programmers.co.kr/learn/courses/30/lessons/43105,level-3
"브라이언의 고민
          ",https://programmers.co.kr/learn/courses/30/lessons/1830,level-3
"리틀 프렌즈 사천성
          ",https://programmers.co.kr/learn/courses/30/lessons/1836,level-3
"디스크 컨트롤러
          ",https://programmers.co.kr/learn/courses/30/lessons/42627,level-3
"우유와 요거트가 담긴 장바구니
          ",https://programmers.co.kr/learn/courses/30/lessons/62284,level-4
"징검다리
          ",https://programmers.co.kr/learn/courses/30/lessons/43236,level-4
"아픈 동물 찾기
          ",https://programmers.co.kr/learn/courses/30/lessons/59036,level-1
"두 개 뽑아서 더하기
          ",https://programmers.co.kr/learn/courses/30/lessons/68644,level-1
"카펫
          ",https://programmers.co.kr/learn/courses/30/lessons/42842,level-2
"다리를 지나는 트럭
          ",https://programmers.co.kr/learn/courses/30/lessons/42583,level-2
"입양 시각 구하기(1)
          ",https://programmers.co.kr/learn/courses/30/lessons/59412,level-2
"괄호 회전하기
          ",https://programmers.co.kr/learn/courses/30/lessons/76502,level-2
"후보키
          ",https://programmers.co.kr/learn/courses/30/lessons/42890,level-2
"배달
          ",https://programmers.co.kr/learn/courses/30/lessons/12978,level-2
"H-Index
          ",https://programmers.co.kr/learn/courses/30/lessons/42747,level-2
"큰 수 만들기
          ",https://programmers.co.kr/learn/courses/30/lessons/42883,level-2
"중성화 여부 파악하기
          ",https://programmers.co.kr/learn/courses/30/lessons/59409,level-2
"동물 수 구하기
          ",https://programmers.co.kr/learn/courses/30/lessons/59406,level-2
"순위 검색
          ",https://programmers.co.kr/learn/courses/30/lessons/72412,level-2
"카펫
          ",https://programmers.co.kr/learn/courses/30/lessons/42842,level-2
"큰 수 만들기
          ",https://programmers.co.kr/learn/courses/30/lessons/42883,level-2
"다단계 칫솔 판매
          ",https://programmers.co.kr/learn/courses/30/lessons/77486,level-3
"표 편집
          ",https://programmers.co.kr/learn/courses/30/lessons/81303,level-3
"보석 쇼핑
          ",https://programmers.co.kr/learn/courses/30/lessons/67258,level-3
"자물쇠와 열쇠
          ",https://programmers.co.kr/learn/courses/30/lessons/60059,level-3
"2 x n 타일링
          ",https://programmers.co.kr/learn/courses/30/lessons/12900,level-3
"오랜 기간 보호한 동물(1)
          ",https://programmers.co.kr/learn/courses/30/lessons/59044,level-3
"단어 변환
          ",https://programmers.co.kr/learn/courses/30/lessons/43163,level-3
"이중우선순위큐
          ",https://programmers.co.kr/learn/courses/30/lessons/42628,level-3
"불량 사용자
          ",https://programmers.co.kr/learn/courses/30/lessons/64064,level-3
"[1차] 셔틀버스
          ",https://programmers.co.kr/learn/courses/30/lessons/17678,level-3
"GPS
          ",https://programmers.co.kr/learn/courses/30/lessons/1837,level-3
"등굣길
          ",https://programmers.co.kr/learn/courses/30/lessons/42898,level-3
"지형 이동
          ",https://programmers.co.kr/learn/courses/30/lessons/62050,level-4
"단어 퍼즐
          ",https://programmers.co.kr/learn/courses/30/lessons/12983,level-4
"사칙연산
          ",https://programmers.co.kr/learn/courses/30/lessons/1843,level-4
"4단 고음
          ",https://programmers.co.kr/learn/courses/30/lessons/1831,level-4
"방의 개수
          ",https://programmers.co.kr/learn/courses/30/lessons/49190,level-5
"어린 동물 찾기
          ",https://programmers.co.kr/learn/courses/30/lessons/59037,level-1
"2016년
          ",https://programmers.co.kr/learn/courses/30/lessons/12901,level-1
"[1차] 프렌즈4블록
          ",https://programmers.co.kr/learn/courses/30/lessons/17679,level-2
"중복 제거하기
          ",https://programmers.co.kr/learn/courses/30/lessons/59408,level-2
"삼각 달팽이
          ",https://programmers.co.kr/learn/courses/30/lessons/68645,level-2
